entry,tp,sl,trend_n,max_bars,fees,bars,years,start,end,final_equity,total_return_pct,cagr_pct,buy_hold_return_pct,excess_vs_hold_pct,ann_vol_pct,sharpe,max_drawdown_pct,fees_paid,fees_pct_of_initial,n_trades,win_rate_pct,avg_win_pct,avg_loss_pct,expectancy_pct_per_trade,median_ret_pct,profit_factor,avg_bars_held,median_bars_held,trades_per_month,exposure_pct,exit_reasons,worst_trade_pct,best_trade_pct,expectancy_ci95_pct
immediate,1.0,,,,coinbase_50k,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,3479.56,-65.2,-65.21,-64.43,-0.78,64.23,-1.32,-67.43,114.3,1.14,3,66.7,0.597,-65.616,-21.474,0.597,0.02,2918.0,11.0,0.3,100.0,"{'target': 2, 'end': 1}",-65.62,0.6,"[None, None]"
immediate,1.0,,4800.0,,coinbase_50k,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.43,64.43,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
immediate,1.0,1.0,,,coinbase_50k,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,0.99,-99.99,-99.99,-64.43,-35.56,52.06,-17.44,-99.99,8202.61,82.03,1771,44.4,0.739,-1.513,-0.512,-1.513,0.35,2.8,1.0,147.6,57.2,"{'stop': 984, 'target': 787}",-1.52,6.11,"[-0.565, -0.457]"
immediate,1.0,1.0,4800.0,,coinbase_50k,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.43,64.43,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
immediate,1.0,2.0,,,coinbase_50k,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,11.48,-99.89,-99.89,-64.43,-35.46,57.54,-11.48,-99.89,7468.05,74.68,1230,61.1,0.716,-2.506,-0.536,0.597,0.41,6.1,3.0,102.5,86.0,"{'target': 752, 'stop': 477, 'end': 1}",-2.51,6.23,"[-0.632, -0.445]"
immediate,1.0,2.0,4800.0,,coinbase_50k,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.43,64.43,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
immediate,1.0,3.0,,,coinbase_50k,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,53.94,-99.46,-99.46,-64.43,-35.03,58.52,-8.63,-99.47,7258.43,72.58,898,69.9,0.7,-3.493,-0.56,0.597,0.45,8.8,4.0,74.9,89.7,"{'target': 628, 'stop': 269, 'end': 1}",-3.5,6.11,"[-0.688, -0.424]"
immediate,1.0,3.0,4800.0,,coinbase_50k,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.43,64.43,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
immediate,1.0,5.0,,,coinbase_50k,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,300.13,-97.0,-97.0,-64.43,-32.57,60.45,-5.5,-97.05,6325.58,63.26,558,78.7,0.73,-5.47,-0.592,0.597,0.46,14.7,5.0,46.5,93.6,"{'target': 439, 'stop': 118, 'end': 1}",-5.49,6.11,"[-0.807, -0.383]"
immediate,1.0,5.0,4800.0,,coinbase_50k,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.43,64.43,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
