entry,tp,sl,trend_n,max_bars,fees,bars,years,start,end,final_equity,total_return_pct,cagr_pct,buy_hold_return_pct,excess_vs_hold_pct,ann_vol_pct,sharpe,max_drawdown_pct,fees_paid,fees_pct_of_initial,n_trades,win_rate_pct,avg_win_pct,avg_loss_pct,expectancy_pct_per_trade,median_ret_pct,profit_factor,avg_bars_held,median_bars_held,trades_per_month,exposure_pct,exit_reasons,worst_trade_pct,best_trade_pct,expectancy_ci95_pct
immediate,1.0,,,,coinbase_intro,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,3414.13,-65.86,-65.87,-64.68,-1.18,64.23,-1.35,-67.51,279.84,2.8,3,0.0,,-21.955,-21.955,-0.004,0.0,2918.0,11.0,0.3,100.0,"{'target': 2, 'end': 1}",-65.86,-0.0,"[None, None]"
immediate,1.0,,4800.0,,coinbase_intro,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.68,64.68,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
immediate,1.0,1.0,,,coinbase_intro,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,0.99,-99.99,-99.99,-64.68,-35.31,41.73,-21.89,-99.99,8907.43,89.07,786,7.4,0.579,-1.298,-1.16,-2.2,0.02,3.0,1.0,65.5,26.8,"{'stop': 429, 'target': 357}",-2.2,3.69,"[-1.234, -1.077]"
immediate,1.0,1.0,4800.0,,coinbase_intro,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.68,64.68,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
immediate,1.0,2.0,,,coinbase_intro,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,0.98,-99.99,-99.99,-64.68,-35.31,50.85,-17.89,-99.99,8305.12,83.05,752,9.4,0.809,-1.416,-1.206,-0.004,0.02,4.6,2.0,62.7,39.8,"{'target': 450, 'stop': 302}",-3.19,5.48,"[-1.322, -1.087]"
immediate,1.0,2.0,4800.0,,coinbase_intro,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.68,64.68,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
immediate,1.0,3.0,,,coinbase_intro,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,1.0,-99.99,-99.99,-64.68,-35.31,57.45,-15.75,-99.99,8368.83,83.69,758,10.9,0.696,-1.419,-1.188,-0.004,0.03,7.4,3.0,63.2,64.1,"{'target': 529, 'stop': 229}",-4.18,5.48,"[-1.329, -1.047]"
immediate,1.0,3.0,4800.0,,coinbase_intro,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.68,64.68,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
immediate,1.0,5.0,,,coinbase_intro,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,9.4,-99.91,-99.91,-64.68,-35.23,61.89,-10.95,-99.91,8015.14,80.15,558,10.4,0.997,-1.462,-1.206,-0.004,0.05,14.7,5.0,46.5,93.6,"{'target': 439, 'stop': 118, 'end': 1}",-6.15,5.48,"[-1.423, -0.995]"
immediate,1.0,5.0,4800.0,,coinbase_intro,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.68,64.68,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
immediate,1.5,,,,coinbase_intro,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,3448.02,-65.52,-65.53,-64.68,-0.84,64.25,-1.34,-67.51,281.53,2.82,3,66.7,0.491,-65.856,-21.625,0.491,0.01,2918.0,11.0,0.3,100.0,"{'target': 2, 'end': 1}",-65.86,0.49,"[None, None]"
immediate,1.5,,4800.0,,coinbase_intro,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.68,64.68,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
immediate,1.5,1.0,,,coinbase_intro,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,0.99,-99.99,-99.99,-64.68,-35.31,46.67,-19.51,-99.99,8954.23,89.54,775,36.9,0.585,-2.2,-1.173,-2.2,0.13,3.7,2.0,64.6,32.7,"{'stop': 489, 'target': 286}",-2.2,5.48,"[-1.264, -1.067]"
