entry,tp,sl,trend_n,max_bars,fees,bars,years,start,end,final_equity,total_return_pct,cagr_pct,buy_hold_return_pct,excess_vs_hold_pct,ann_vol_pct,sharpe,max_drawdown_pct,fees_paid,fees_pct_of_initial,n_trades,win_rate_pct,avg_win_pct,avg_loss_pct,expectancy_pct_per_trade,median_ret_pct,profit_factor,avg_bars_held,median_bars_held,trades_per_month,exposure_pct,exit_reasons,worst_trade_pct,best_trade_pct,expectancy_ci95_pct
immediate,1.0,,,,zero,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,3526.49,-64.74,-64.74,-64.25,-0.49,64.23,-1.3,-67.43,0.0,0.0,3,66.7,1.0,-65.43,-21.143,1.0,0.03,2918.0,11.0,0.3,100.0,"{'target': 2, 'end': 1}",-65.43,1.0,"[None, None]"
immediate,1.0,,4800.0,,zero,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.25,64.25,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
immediate,1.0,1.0,,,zero,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,4637.22,-53.63,-53.64,-64.25,10.62,50.92,-1.26,-56.85,0.0,0.0,1991,45.1,1.147,-0.999,-0.032,-1.0,0.93,3.4,1.0,166.0,77.3,"{'stop': 1093, 'target': 897, 'end': 1}",-1.0,6.67,"[-0.082, 0.017]"
immediate,1.0,1.0,4800.0,,zero,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.25,64.25,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
immediate,1.0,2.0,,,zero,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,3638.76,-63.61,-63.62,-64.25,0.64,55.18,-1.56,-64.83,0.0,0.0,1231,61.8,1.121,-1.997,-0.07,1.0,0.89,6.1,3.0,102.6,85.9,"{'target': 761, 'stop': 469, 'end': 1}",-2.0,6.67,"[-0.154, 0.017]"
immediate,1.0,2.0,4800.0,,zero,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.25,64.25,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
immediate,1.0,3.0,,,zero,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,3300.78,-66.99,-67.0,-64.25,-2.74,56.88,-1.66,-68.3,0.0,0.0,906,70.5,1.102,-2.99,-0.104,1.0,0.87,8.7,3.0,75.5,89.7,"{'target': 639, 'stop': 266, 'end': 1}",-3.0,6.56,"[-0.235, 0.016]"
immediate,1.0,3.0,4800.0,,zero,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.25,64.25,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
immediate,1.0,5.0,,,zero,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,3577.71,-64.22,-64.23,-64.25,0.03,60.06,-1.41,-67.46,0.0,0.0,561,79.0,1.135,-4.976,-0.15,1.0,0.83,14.6,4.0,46.8,93.6,"{'target': 443, 'stop': 117, 'end': 1}",-5.0,6.56,"[-0.358, 0.054]"
immediate,1.0,5.0,4800.0,,zero,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.25,64.25,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
immediate,1.5,,,,zero,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,3561.49,-64.39,-64.39,-64.25,-0.14,64.24,-1.29,-67.43,0.0,0.0,3,66.7,1.5,-65.43,-20.81,1.5,0.04,2918.0,11.0,0.3,100.0,"{'target': 2, 'end': 1}",-65.43,1.5,"[None, None]"
immediate,1.5,,4800.0,,zero,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.25,64.25,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
immediate,1.5,1.0,,,zero,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,3699.23,-63.01,-63.02,-64.25,1.24,51.94,-1.66,-68.43,0.0,0.0,1598,36.4,1.602,-1.0,-0.054,-1.0,0.91,4.5,2.0,133.2,81.8,"{'stop': 1017, 'target': 580, 'end': 1}",-1.0,6.67,"[-0.117, 0.008]"
immediate,1.5,1.0,4800.0,,zero,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.25,64.25,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
immediate,1.5,2.0,,,zero,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,2991.05,-70.09,-70.1,-64.25,-5.84,56.19,-1.87,-74.96,0.0,0.0,933,52.6,1.586,-2.0,-0.113,1.5,0.87,8.4,4.0,77.8,89.3,"{'target': 490, 'stop': 442, 'end': 1}",-2.0,6.67,"[-0.235, 0.001]"
immediate,1.5,2.0,4800.0,,zero,8758,1.0,2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,10000.0,0.0,0.0,-64.25,64.25,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,
