entry,tp,sl,trend_n,max_bars,fees,bars,years,start,end,final_equity,total_return_pct,cagr_pct,buy_hold_return_pct,excess_vs_hold_pct,ann_vol_pct,sharpe,max_drawdown_pct,fees_paid,fees_pct_of_initial,n_trades,win_rate_pct,avg_win_pct,avg_loss_pct,expectancy_pct_per_trade,median_ret_pct,profit_factor,avg_bars_held,median_bars_held,trades_per_month,exposure_pct,exit_reasons,worst_trade_pct,best_trade_pct,expectancy_ci95_pct
immediate,1.0,,,,coinbase_50k,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,19572.2,95.72,19.8,388.18,-292.46,45.57,0.62,-53.84,12643.47,126.43,172,99.4,0.652,-35.577,0.442,0.597,1.89,188.3,9.0,3.9,99.5,"{'target': 171, 'end': 1}",-35.58,2.03,"[-0.003, 0.675]"
immediate,1.0,,4800.0,,coinbase_50k,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,17764.4,77.64,16.72,388.18,-310.54,45.5,0.57,-53.84,10944.57,109.45,158,99.4,0.648,-35.577,0.419,0.597,1.79,203.2,8.5,3.5,98.6,"{'target': 157, 'end': 1}",-35.58,2.03,"[-0.054, 0.674]"
immediate,1.0,1.0,,,coinbase_50k,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,1.0,-99.99,-91.61,388.18,-488.17,27.54,-8.86,-99.99,11496.52,114.97,2049,49.1,0.668,-1.513,-0.442,-1.513,0.47,5.8,2.0,45.9,36.6,"{'stop': 1043, 'target': 1006}",-1.51,4.37,"[-0.49, -0.394]"
immediate,1.0,1.0,4800.0,,coinbase_50k,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,1.0,-99.99,-91.62,388.18,-488.17,27.36,-8.92,-99.99,10429.88,104.3,2022,48.8,0.67,-1.513,-0.449,-1.513,0.44,5.4,2.0,45.3,33.6,"{'stop': 1036, 'target': 986}",-1.51,4.37,"[-0.496, -0.399]"
immediate,1.0,2.0,,,coinbase_50k,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.99,-99.99,-91.62,388.18,-488.17,37.78,-6.37,-99.99,12378.42,123.78,2168,66.1,0.665,-2.508,-0.413,0.597,0.57,10.4,4.5,48.6,68.9,"{'target': 1432, 'stop': 736}",-2.51,4.7,"[-0.475, -0.349]"
immediate,1.0,2.0,4800.0,,coinbase_50k,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,2.18,-99.98,-89.65,388.18,-488.16,35.05,-6.3,-99.98,10563.39,105.63,1868,65.3,0.662,-2.506,-0.439,0.597,0.52,10.5,5.0,41.9,60.4,"{'target': 1219, 'stop': 648, 'end': 1}",-2.51,4.37,"[-0.509, -0.369]"
immediate,1.0,3.0,,,coinbase_50k,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,1.54,-99.98,-90.57,388.18,-488.17,43.6,-5.2,-99.99,13686.75,136.87,2097,74.4,0.666,-3.499,-0.401,0.597,0.62,14.5,6.0,47.0,93.6,"{'target': 1560, 'stop': 536, 'end': 1}",-3.5,4.7,"[-0.477, -0.323]"
immediate,1.0,3.0,4800.0,,coinbase_50k,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,30.83,-99.69,-78.89,388.18,-487.87,35.23,-4.24,-99.71,11238.5,112.38,1369,74.4,0.662,-3.497,-0.404,0.597,0.57,14.8,6.0,30.7,62.2,"{'target': 1018, 'stop': 350, 'end': 1}",-3.5,3.96,"[-0.5, -0.307]"
immediate,1.0,5.0,,,coinbase_50k,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,73.38,-99.27,-73.34,388.18,-487.45,44.26,-2.76,-99.48,14633.98,146.34,1251,83.1,0.672,-5.472,-0.364,0.597,0.67,25.0,7.0,28.0,96.2,"{'target': 1040, 'stop': 210, 'end': 1}",-5.49,4.7,"[-0.501, -0.241]"
immediate,1.0,5.0,4800.0,,coinbase_50k,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,315.9,-96.84,-60.52,388.18,-485.02,36.33,-2.38,-97.16,11722.69,117.23,860,83.0,0.668,-5.463,-0.373,0.597,0.62,24.7,8.0,19.3,65.4,"{'target': 714, 'stop': 145, 'end': 1}",-5.49,3.96,"[-0.527, -0.221]"
