entry,tp,sl,trend_n,max_bars,fees,bars,years,start,end,final_equity,total_return_pct,cagr_pct,buy_hold_return_pct,excess_vs_hold_pct,ann_vol_pct,sharpe,max_drawdown_pct,fees_paid,fees_pct_of_initial,n_trades,win_rate_pct,avg_win_pct,avg_loss_pct,expectancy_pct_per_trade,median_ret_pct,profit_factor,avg_bars_held,median_bars_held,trades_per_month,exposure_pct,exit_reasons,worst_trade_pct,best_trade_pct,expectancy_ci95_pct
immediate,1.0,,,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,6975.91,-30.24,-9.23,384.75,-414.99,45.65,0.02,-54.0,17914.21,179.14,172,9.3,0.582,-0.235,-0.159,-0.004,0.24,188.3,9.0,3.9,99.5,"{'target': 171, 'end': 1}",-36.03,1.42,"[-0.601, 0.074]"
immediate,1.0,,4800.0,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,6885.65,-31.14,-9.55,384.75,-415.89,45.58,0.01,-54.0,16298.63,162.99,158,8.9,0.568,-0.254,-0.181,-0.004,0.21,203.2,8.5,3.5,98.6,"{'target': 157, 'end': 1}",-36.03,1.42,"[-0.652, 0.072]"
immediate,1.0,1.0,,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.98,-99.99,-91.64,384.75,-484.74,21.63,-11.36,-99.99,11163.85,111.64,859,5.2,0.649,-1.156,-1.062,-0.004,0.04,7.5,3.0,19.3,19.9,"{'target': 432, 'stop': 427}",-2.2,3.74,"[-1.139, -0.98]"
immediate,1.0,1.0,4800.0,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,1.0,-99.99,-91.61,384.75,-484.74,21.47,-11.44,-99.99,10274.23,102.74,858,5.1,0.644,-1.153,-1.061,-0.004,0.03,6.5,3.0,19.2,17.2,"{'target': 432, 'stop': 426}",-2.2,3.74,"[-1.138, -0.984]"
immediate,1.0,2.0,,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,1.0,-99.99,-91.61,384.75,-484.74,27.13,-9.0,-99.99,11795.74,117.96,916,7.9,0.604,-1.125,-0.989,-0.004,0.06,11.2,4.0,20.5,31.5,"{'target': 619, 'stop': 297}",-3.19,3.74,"[-1.091, -0.886]"
immediate,1.0,2.0,4800.0,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.99,-99.99,-91.63,384.75,-484.74,26.81,-9.11,-99.99,10167.48,101.67,884,7.9,0.61,-1.166,-1.025,-0.004,0.05,10.0,4.0,19.8,27.1,"{'target': 587, 'stop': 297}",-3.19,3.74,"[-1.126, -0.916]"
immediate,1.0,3.0,,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.98,-99.99,-91.64,384.75,-484.74,30.41,-8.01,-99.99,12257.36,122.57,897,8.0,0.612,-1.147,-1.006,-0.004,0.06,14.6,6.0,20.1,40.2,"{'target': 671, 'stop': 226}",-4.18,3.07,"[-1.126, -0.887]"
immediate,1.0,3.0,4800.0,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.97,-99.99,-91.68,384.75,-484.74,30.51,-7.99,-99.99,10497.44,104.97,900,7.7,0.617,-1.139,-1.004,-0.004,0.04,13.9,6.0,20.2,38.5,"{'target': 674, 'stop': 226}",-4.18,3.07,"[-1.122, -0.889]"
immediate,1.0,5.0,,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.98,-99.99,-91.66,384.75,-484.74,39.34,-6.11,-99.99,12748.09,127.48,967,8.4,0.714,-1.073,-0.923,-0.004,0.06,23.7,7.0,21.7,70.4,"{'target': 813, 'stop': 154}",-6.15,4.07,"[-1.063, -0.779]"
immediate,1.0,5.0,4800.0,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,1.58,-99.98,-90.51,384.75,-484.73,37.42,-6.1,-99.98,11088.18,110.88,860,8.4,0.693,-1.138,-0.984,-0.004,0.05,24.7,8.0,19.3,65.4,"{'target': 714, 'stop': 145, 'end': 1}",-6.15,3.33,"[-1.14, -0.831]"
immediate,1.5,,,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,12033.76,20.34,5.11,384.75,-364.41,45.71,0.34,-53.94,17551.99,175.52,126,99.2,0.508,-36.106,0.217,0.491,1.3,257.5,15.0,2.8,99.6,"{'target': 125, 'end': 1}",-36.11,1.0,"[-0.375, 0.518]"
immediate,1.5,,4800.0,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,11385.54,13.86,3.55,384.75,-370.89,45.64,0.3,-53.94,15539.05,155.39,115,99.1,0.508,-36.106,0.19,0.491,1.22,279.5,14.0,2.6,98.7,"{'target': 114, 'end': 1}",-36.11,1.0,"[-0.458, 0.519]"
immediate,1.5,1.0,,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.99,-99.99,-91.63,384.75,-484.74,24.73,-9.9,-99.99,12124.09,121.24,871,42.1,0.545,-2.2,-1.044,-2.2,0.23,9.5,4.0,19.5,25.5,"{'stop': 504, 'target': 367}",-2.2,3.74,"[-1.13, -0.954]"
immediate,1.5,1.0,4800.0,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.99,-99.99,-91.62,384.75,-484.74,24.73,-9.9,-99.99,10772.25,107.72,865,41.8,0.548,-2.2,-1.05,-2.2,0.2,8.6,4.0,19.4,22.9,"{'stop': 503, 'target': 362}",-2.2,3.74,"[-1.142, -0.954]"
immediate,1.5,2.0,,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.98,-99.99,-91.66,384.75,-484.74,31.14,-7.82,-99.99,13241.0,132.41,874,58.0,0.526,-3.188,-1.034,0.491,0.31,15.0,7.0,19.6,40.2,"{'target': 507, 'stop': 367}",-3.19,3.74,"[-1.154, -0.913]"
immediate,1.5,2.0,4800.0,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.99,-99.99,-91.63,384.75,-484.74,30.7,-7.92,-99.99,11368.23,113.68,839,56.9,0.527,-3.188,-1.076,0.491,0.26,14.4,7.0,18.8,37.1,"{'target': 477, 'stop': 362}",-3.19,3.74,"[-1.205, -0.953]"
immediate,1.5,3.0,,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.99,-99.99,-91.63,384.75,-484.74,36.39,-6.63,-99.99,14389.32,143.89,913,67.9,0.53,-4.176,-0.98,0.491,0.36,19.3,10.0,20.5,54.2,"{'target': 620, 'stop': 293}",-4.18,3.46,"[-1.128, -0.833]"
immediate,1.5,3.0,4800.0,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.97,-99.99,-91.68,384.75,-484.74,35.37,-6.85,-99.99,12200.86,122.01,854,66.4,0.531,-4.176,-1.051,0.491,0.32,19.1,10.0,19.1,50.2,"{'target': 567, 'stop': 287}",-4.18,3.46,"[-1.208, -0.898]"
immediate,1.5,5.0,,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.98,-99.99,-91.64,384.75,-484.74,44.34,-5.37,-99.99,13989.52,139.9,881,77.2,0.521,-6.152,-1.001,0.491,0.37,33.0,14.0,19.7,89.4,"{'target': 680, 'stop': 201}",-6.15,3.46,"[-1.185, -0.825]"
immediate,1.5,5.0,4800.0,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,10.79,-99.89,-84.08,384.75,-484.64,37.66,-4.69,-99.9,11870.79,118.71,642,76.8,0.524,-6.117,-1.017,0.491,0.33,33.4,15.0,14.4,65.9,"{'target': 493, 'stop': 148, 'end': 1}",-6.15,3.46,"[-1.245, -0.796]"
immediate,2.0,,,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,16574.81,65.75,14.56,384.75,-319.0,45.86,0.53,-53.84,16416.67,164.17,98,99.0,0.986,-36.026,0.609,0.986,1.7,331.3,28.5,2.2,99.7,"{'target': 97, 'end': 1}",-36.03,1.0,"[-0.147, 0.987]"
immediate,2.0,,4800.0,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,15323.44,53.23,12.17,384.75,-331.51,45.77,0.48,-53.84,14410.08,144.1,90,98.9,0.986,-36.026,0.575,0.986,1.62,357.4,30.0,2.0,98.8,"{'target': 89, 'end': 1}",-36.03,1.0,"[-0.248, 0.987]"
immediate,2.0,1.0,,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.98,-99.99,-91.65,384.75,-484.74,27.64,-8.84,-99.99,12202.92,122.03,879,36.4,1.008,-2.2,-1.033,-2.2,0.31,11.1,5.0,19.7,30.0,"{'stop': 559, 'target': 320}",-2.2,3.74,"[-1.133, -0.926]"
immediate,2.0,1.0,4800.0,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.99,-99.99,-91.63,384.75,-484.74,27.65,-8.83,-99.99,11187.14,111.87,880,36.5,1.008,-2.2,-1.03,-2.2,0.28,9.8,4.0,19.7,26.4,"{'stop': 559, 'target': 321}",-2.2,3.74,"[-1.13, -0.931]"
immediate,2.0,2.0,,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,1.0,-99.99,-91.61,384.75,-484.74,35.31,-6.84,-99.99,13773.03,137.73,916,52.6,1.011,-3.188,-0.978,0.986,0.43,17.6,10.0,20.5,49.5,"{'target': 482, 'stop': 434}",-3.19,3.74,"[-1.115, -0.844]"
immediate,2.0,2.0,4800.0,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.98,-99.99,-91.65,384.75,-484.74,34.56,-7.01,-99.99,12069.21,120.69,872,51.5,1.002,-3.188,-1.031,0.986,0.39,16.8,9.0,19.5,45.0,"{'target': 449, 'stop': 423}",-3.19,3.74,"[-1.169, -0.896]"
immediate,2.0,3.0,,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,1.0,-99.99,-91.62,384.75,-484.74,41.47,-5.77,-99.99,15281.24,152.81,932,62.2,1.005,-4.176,-0.952,0.986,0.49,25.7,13.0,20.9,73.7,"{'target': 580, 'stop': 352}",-4.18,3.42,"[-1.109, -0.787]"
immediate,2.0,3.0,4800.0,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,2.54,-99.97,-89.22,384.75,-484.72,38.22,-5.63,-99.98,13149.18,131.49,797,61.2,1.005,-4.169,-1.001,0.986,0.45,26.2,14.0,17.9,64.2,"{'target': 488, 'stop': 308, 'end': 1}",-4.18,3.33,"[-1.18, -0.828]"
immediate,2.0,5.0,,,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,10.1,-99.9,-84.36,384.75,-484.65,45.86,-3.82,-99.91,15879.47,158.79,727,73.3,1.014,-6.13,-0.892,0.986,0.54,43.8,20.0,16.3,97.8,"{'target': 533, 'stop': 193, 'end': 1}",-6.15,3.42,"[-1.121, -0.672]"
