entry,tp,sl,trend_n,max_bars,fees,bars,years,start,end,final_equity,total_return_pct,cagr_pct,buy_hold_return_pct,excess_vs_hold_pct,ann_vol_pct,sharpe,max_drawdown_pct,fees_paid,fees_pct_of_initial,n_trades,win_rate_pct,avg_win_pct,avg_loss_pct,expectancy_pct_per_trade,median_ret_pct,profit_factor,avg_bars_held,median_bars_held,trades_per_month,exposure_pct,exit_reasons,worst_trade_pct,best_trade_pct,expectancy_ci95_pct
immediate,1.0,,,,coinbase_intro,8143,3.718,2023-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,9077.25,-9.23,-2.57,384.75,-393.98,44.78,0.17,-54.04,19910.32,199.1,160,19.4,1.163,-0.284,-0.004,-0.004,0.82,49.9,3.0,3.6,98.0,"{'target': 159, 'end': 1}",-36.16,4.24,"[-0.517, 0.291]"
immediate,1.0,,1200.0,,coinbase_intro,8143,3.718,2023-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,8846.38,-11.54,-3.24,384.75,-396.28,44.76,0.15,-54.04,18530.16,185.3,151,18.5,1.194,-0.298,-0.021,-0.004,0.77,52.4,3.0,3.4,97.2,"{'target': 150, 'end': 1}",-36.16,4.24,"[-0.575, 0.298]"
immediate,1.0,1.0,,,coinbase_intro,8143,3.718,2023-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,0.98,-99.99,-91.65,384.75,-484.74,24.49,-10.01,-99.99,11462.2,114.62,876,11.8,0.999,-1.311,-1.04,-2.2,0.13,2.0,1.0,19.6,21.8,"{'stop': 460, 'target': 416}",-2.2,7.62,"[-1.13, -0.95]"
immediate,1.0,1.0,1200.0,,coinbase_intro,8143,3.718,2023-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,1.0,-99.99,-91.61,384.75,-484.74,24.53,-9.97,-99.99,10346.05,103.46,857,12.1,1.005,-1.346,-1.06,-2.2,0.12,1.7,1.0,19.2,18.2,"{'stop': 460, 'target': 397}",-2.2,7.62,"[-1.151, -0.975]"
immediate,1.0,2.0,,,coinbase_intro,8143,3.718,2023-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,0.99,-99.99,-91.63,384.75,-484.74,29.79,-8.17,-99.99,12753.31,127.53,884,15.3,1.042,-1.394,-1.022,-0.004,0.21,3.1,2.0,19.8,34.1,"{'target': 557, 'stop': 327}",-3.19,7.62,"[-1.133, -0.903]"
immediate,1.0,2.0,1200.0,,coinbase_intro,8143,3.718,2023-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,0.98,-99.99,-91.64,384.75,-484.74,29.64,-8.22,-99.99,11372.98,113.73,889,15.7,1.024,-1.398,-1.017,-0.004,0.19,3.0,1.0,19.9,32.5,"{'target': 561, 'stop': 328}",-3.19,7.62,"[-1.138, -0.898]"
immediate,1.0,3.0,,,coinbase_intro,8143,3.718,2023-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,0.97,-99.99,-91.66,384.75,-484.74,33.94,-7.15,-99.99,13432.63,134.33,909,15.3,1.116,-1.369,-0.989,-0.004,0.24,4.1,2.0,20.4,46.3,"{'target': 657, 'stop': 252}",-4.18,7.62,"[-1.119, -0.858]"
immediate,1.0,3.0,1200.0,,coinbase_intro,8143,3.718,2023-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,0.99,-99.99,-91.62,384.75,-484.74,33.59,-7.21,-99.99,12015.47,120.15,870,15.3,1.148,-1.425,-1.032,-0.004,0.22,4.1,2.0,19.5,43.6,"{'target': 619, 'stop': 251}",-4.18,7.62,"[-1.177, -0.888]"
immediate,1.0,5.0,,,coinbase_intro,8143,3.718,2023-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,0.96,-99.99,-91.68,384.75,-484.74,41.22,-5.82,-99.99,15613.98,156.14,940,15.9,1.155,-1.341,-0.945,-0.004,0.3,6.9,3.0,21.1,79.7,"{'target': 768, 'stop': 172}",-6.15,7.62,"[-1.103, -0.791]"
immediate,1.0,5.0,1200.0,,coinbase_intro,8143,3.718,2023-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,13.33,-99.87,-83.14,384.75,-484.61,35.22,-4.88,-99.88,14199.83,142.0,684,15.8,1.253,-1.338,-0.929,-0.004,0.28,7.1,2.0,15.3,59.4,"{'target': 559, 'stop': 125}",-6.15,7.62,"[-1.133, -0.743]"
immediate,1.5,,,,coinbase_intro,8143,3.718,2023-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,12969.49,29.69,7.24,384.75,-355.05,44.85,0.38,-53.58,17471.2,174.71,118,99.2,0.604,-35.787,0.296,0.491,1.41,68.0,4.5,2.6,98.6,"{'target': 117, 'end': 1}",-35.79,4.24,"[-0.388, 0.675]"
immediate,1.5,,1200.0,,coinbase_intro,8143,3.718,2023-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,12406.63,24.07,5.97,384.75,-360.68,44.81,0.35,-53.58,15834.83,158.35,109,99.1,0.613,-35.787,0.279,0.491,1.35,73.0,5.0,2.4,97.7,"{'target': 108, 'end': 1}",-35.79,4.24,"[-0.456, 0.695]"
immediate,1.5,1.0,,,coinbase_intro,8143,3.718,2023-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,0.99,-99.99,-91.62,384.75,-484.74,27.01,-9.04,-99.99,12170.16,121.7,871,39.8,0.708,-2.2,-1.042,-2.2,0.28,2.4,1.0,19.5,25.6,"{'stop': 524, 'target': 347}",-2.2,7.62,"[-1.141, -0.944]"
immediate,1.5,1.0,1200.0,,coinbase_intro,8143,3.718,2023-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,0.98,-99.99,-91.64,384.75,-484.74,27.05,-9.03,-99.99,11110.0,111.1,861,39.3,0.718,-2.2,-1.055,-2.2,0.25,2.2,1.0,19.3,23.0,"{'stop': 523, 'target': 338}",-2.2,7.62,"[-1.152, -0.953]"
immediate,1.5,2.0,,,coinbase_intro,8143,3.718,2023-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,0.99,-99.99,-91.63,384.75,-484.74,32.95,-7.36,-99.99,13349.23,133.49,904,57.1,0.653,-3.188,-0.996,0.491,0.35,3.9,2.0,20.3,43.7,"{'target': 516, 'stop': 388}",-3.19,4.39,"[-1.119, -0.868]"
immediate,1.5,2.0,1200.0,,coinbase_intro,8143,3.718,2023-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,0.98,-99.99,-91.65,384.75,-484.74,32.61,-7.45,-99.99,11969.0,119.69,864,55.4,0.681,-3.188,-1.043,0.491,0.32,3.7,2.0,19.4,39.7,"{'target': 479, 'stop': 385}",-3.19,5.91,"[-1.187, -0.917]"
immediate,1.5,3.0,,,coinbase_intro,8143,3.718,2023-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,0.99,-99.99,-91.63,384.75,-484.74,38.23,-6.29,-99.99,14042.35,140.42,905,66.1,0.652,-4.176,-0.986,0.491,0.4,5.7,3.0,20.3,63.8,"{'target': 598, 'stop': 307}",-4.18,5.91,"[-1.138, -0.836]"
