entry,tp,sl,trend_n,max_bars,fees,bars,years,start,end,final_equity,total_return_pct,cagr_pct,buy_hold_return_pct,excess_vs_hold_pct,ann_vol_pct,sharpe,max_drawdown_pct,fees_paid,fees_pct_of_initial,n_trades,win_rate_pct,avg_win_pct,avg_loss_pct,expectancy_pct_per_trade,median_ret_pct,profit_factor,avg_bars_held,median_bars_held,trades_per_month,exposure_pct,exit_reasons,worst_trade_pct,best_trade_pct,expectancy_ci95_pct
immediate,1.0,,,72,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.99,-99.99,-91.63,384.75,-484.74,40.55,-5.91,-99.99,13055.25,130.55,944,6.0,0.641,-1.049,-0.947,-0.004,0.06,26.4,11.0,21.2,76.4,"{'target': 736, 'time': 208}",-12.91,3.33,"[-1.091, -0.813]"
immediate,1.0,,4800.0,72,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,3.07,-99.97,-88.65,384.75,-484.72,37.25,-5.65,-99.97,11475.3,114.75,811,6.3,0.66,-1.076,-0.967,-0.004,0.04,26.5,11.0,18.2,66.0,"{'target': 628, 'time': 182, 'end': 1}",-12.91,3.33,"[-1.124, -0.819]"
immediate,1.0,1.0,,72,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.99,-99.99,-91.64,384.75,-484.74,21.5,-11.43,-99.99,11163.64,111.64,851,5.3,0.649,-1.167,-1.071,-1.5,0.04,7.5,3.0,19.1,19.5,"{'stop': 423, 'target': 422, 'time': 6}",-2.2,3.74,"[-1.148, -0.992]"
immediate,1.0,1.0,4800.0,72,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.99,-99.99,-91.63,384.75,-484.74,21.45,-11.46,-99.99,10274.02,102.74,853,5.0,0.658,-1.16,-1.069,-1.259,0.03,6.5,3.0,19.1,17.1,"{'target': 425, 'stop': 424, 'time': 4}",-2.2,3.74,"[-1.144, -0.984]"
immediate,1.0,2.0,,72,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.99,-99.99,-91.63,384.75,-484.74,26.93,-9.07,-99.99,11817.19,118.17,913,7.7,0.603,-1.126,-0.993,-0.004,0.06,11.0,4.0,20.5,30.9,"{'target': 608, 'stop': 289, 'time': 16}",-3.19,3.74,"[-1.094, -0.892]"
immediate,1.0,2.0,4800.0,72,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,1.0,-99.99,-91.61,384.75,-484.74,26.75,-9.13,-99.99,10165.01,101.65,883,7.9,0.603,-1.166,-1.026,-0.004,0.05,10.0,4.0,19.8,27.0,"{'target': 583, 'stop': 293, 'time': 7}",-3.19,3.74,"[-1.136, -0.927]"
immediate,1.0,3.0,,72,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.99,-99.99,-91.63,384.75,-484.74,30.19,-8.06,-99.99,12335.24,123.35,913,7.7,0.606,-1.12,-0.988,-0.004,0.06,14.2,6.0,20.5,39.9,"{'target': 673, 'stop': 212, 'time': 28}",-4.18,3.07,"[-1.106, -0.876]"
immediate,1.0,3.0,4800.0,72,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.97,-99.99,-91.68,384.75,-484.74,29.89,-8.17,-99.99,10568.56,105.69,864,7.2,0.614,-1.175,-1.047,-0.004,0.04,13.9,6.0,19.4,37.0,"{'target': 629, 'stop': 214, 'time': 21}",-4.18,3.07,"[-1.174, -0.921]"
immediate,1.0,5.0,,72,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.94,-99.99,-91.73,384.75,-484.74,36.02,-6.74,-99.99,12342.97,123.43,927,8.0,0.631,-1.11,-0.971,-0.004,0.06,19.4,8.0,20.8,55.3,"{'target': 729, 'stop': 110, 'time': 88}",-6.15,3.42,"[-1.112, -0.833]"
immediate,1.0,5.0,4800.0,72,coinbase_intro,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,0.97,-99.99,-91.67,384.75,-484.74,35.44,-6.83,-99.99,10797.29,107.97,882,7.9,0.656,-1.161,-1.017,-0.004,0.05,19.9,8.0,19.8,53.8,"{'target': 686, 'stop': 108, 'time': 88}",-6.15,3.33,"[-1.161, -0.866]"
