entry,tp,sl,trend_n,max_bars,fees,bars,years,start,end,final_equity,total_return_pct,cagr_pct,buy_hold_return_pct,excess_vs_hold_pct,ann_vol_pct,sharpe,max_drawdown_pct,fees_paid,fees_pct_of_initial,n_trades,win_rate_pct,avg_win_pct,avg_loss_pct,expectancy_pct_per_trade,median_ret_pct,profit_factor,avg_bars_held,median_bars_held,trades_per_month,exposure_pct,exit_reasons,worst_trade_pct,best_trade_pct,expectancy_ci95_pct
immediate,1.0,,,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,40302.77,303.03,45.49,390.64,-87.61,45.6,1.05,-53.84,0.0,0.0,175,99.4,1.056,-35.228,0.849,1.0,2.38,185.1,8.0,3.9,99.5,"{'target': 174, 'end': 1}",-35.23,2.46,"[0.416, 1.082]"
immediate,1.0,,4800.0,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,34575.12,245.75,39.61,390.64,-144.88,45.52,0.96,-53.84,0.0,0.0,161,99.4,1.052,-35.228,0.827,1.0,2.31,199.3,7.0,3.6,98.6,"{'target': 160, 'end': 1}",-35.23,2.46,"[0.356, 1.079]"
immediate,1.0,1.0,,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,17751.89,77.52,16.69,390.64,-313.12,38.98,0.59,-50.97,0.0,0.0,4933,49.0,1.074,-1.0,0.017,-1.0,1.02,5.6,2.0,110.6,84.9,"{'stop': 2513, 'target': 2419, 'end': 1}",-1.0,5.14,"[-0.014, 0.047]"
immediate,1.0,1.0,4800.0,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,14271.41,42.71,10.04,390.64,-347.92,31.24,0.46,-50.15,0.0,0.0,3206,49.1,1.069,-1.0,0.017,-1.0,1.02,5.7,3.0,71.9,55.7,"{'stop': 1630, 'target': 1575, 'end': 1}",-1.0,4.81,"[-0.02, 0.051]"
immediate,1.0,2.0,,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,16625.58,66.26,14.65,390.64,-324.38,41.71,0.54,-51.49,0.0,0.0,2866,66.1,1.071,-1.999,0.029,1.0,1.02,10.4,5.0,64.2,91.2,"{'target': 1893, 'stop': 972, 'end': 1}",-2.0,5.14,"[-0.027, 0.084]"
immediate,1.0,2.0,4800.0,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,12281.74,22.82,5.68,390.64,-367.82,33.67,0.33,-54.68,0.0,0.0,1887,65.9,1.066,-1.998,0.022,1.0,1.01,10.4,5.0,42.3,60.3,"{'target': 1244, 'stop': 642, 'end': 1}",-2.0,4.81,"[-0.047, 0.086]"
immediate,1.0,3.0,,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,18850.2,88.5,18.59,390.64,-302.13,42.97,0.61,-55.57,0.0,0.0,2114,74.8,1.072,-2.996,0.046,1.0,1.03,14.4,6.0,47.4,93.5,"{'target': 1581, 'stop': 532, 'end': 1}",-3.0,5.14,"[-0.031, 0.121]"
immediate,1.0,3.0,4800.0,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,13872.78,38.73,9.2,390.64,-351.91,34.67,0.43,-49.44,0.0,0.0,1378,74.7,1.069,-2.993,0.04,1.0,1.03,14.7,6.0,30.9,62.2,"{'target': 1029, 'stop': 348, 'end': 1}",-3.0,4.39,"[-0.053, 0.138]"
immediate,1.0,5.0,,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,18226.42,82.26,17.52,390.64,-308.37,44.16,0.59,-60.34,0.0,0.0,1267,83.4,1.078,-4.979,0.074,1.0,1.04,24.7,7.0,28.4,96.1,"{'target': 1057, 'stop': 209, 'end': 1}",-5.0,5.14,"[-0.053, 0.197]"
immediate,1.0,5.0,4800.0,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,15193.89,51.94,11.91,390.64,-338.7,36.24,0.49,-48.89,0.0,0.0,878,83.5,1.072,-4.97,0.074,1.0,1.05,24.2,7.0,19.7,65.4,"{'target': 733, 'stop': 144, 'end': 1}",-5.0,4.39,"[-0.084, 0.223]"
immediate,1.5,,,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,42987.73,329.88,48.04,390.64,-60.76,45.76,1.09,-53.84,0.0,0.0,127,99.2,1.514,-35.308,1.225,1.5,2.41,255.4,15.0,2.8,99.6,"{'target': 126, 'end': 1}",-35.31,2.04,"[0.636, 1.525]"
immediate,1.5,,4800.0,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,36432.16,264.32,41.59,390.64,-126.31,45.68,0.99,-53.84,0.0,0.0,116,99.1,1.514,-35.308,1.197,1.5,2.33,277.1,14.5,2.6,98.7,"{'target': 115, 'end': 1}",-35.31,2.04,"[0.554, 1.525]"
immediate,1.5,1.0,,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,15655.38,56.55,12.81,390.64,-334.08,40.1,0.5,-64.55,0.0,0.0,3702,40.1,1.544,-1.0,0.02,-1.0,1.01,7.8,3.0,83.0,88.6,"{'stop': 2218, 'target': 1483, 'end': 1}",-1.0,5.14,"[-0.021, 0.06]"
immediate,1.5,1.0,4800.0,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,15836.41,58.36,13.16,390.64,-332.27,32.21,0.54,-53.24,0.0,0.0,2393,40.4,1.542,-1.0,0.027,-1.0,1.02,7.9,4.0,53.6,58.2,"{'stop': 1426, 'target': 966, 'end': 1}",-1.0,4.81,"[-0.025, 0.078]"
immediate,1.5,2.0,,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,17423.87,74.24,16.11,390.64,-316.4,42.7,0.56,-55.36,0.0,0.0,2081,57.6,1.545,-2.0,0.042,1.5,1.02,14.6,7.0,46.6,93.6,"{'target': 1198, 'stop': 882, 'end': 1}",-2.0,5.14,"[-0.033, 0.118]"
immediate,1.5,2.0,4800.0,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,12156.75,21.57,5.39,390.64,-369.07,34.5,0.32,-58.89,0.0,0.0,1356,57.4,1.538,-2.0,0.03,1.5,1.01,14.9,7.0,30.4,62.0,"{'target': 777, 'stop': 578, 'end': 1}",-2.0,4.87,"[-0.059, 0.125]"
immediate,1.5,3.0,,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,15151.29,51.51,11.83,390.64,-339.12,43.62,0.47,-59.1,0.0,0.0,1519,67.2,1.538,-3.0,0.05,1.5,1.02,20.4,10.0,34.0,95.3,"{'target': 1020, 'stop': 498, 'end': 1}",-3.0,4.87,"[-0.058, 0.152]"
immediate,1.5,3.0,4800.0,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,11458.86,14.59,3.73,390.64,-376.05,35.21,0.28,-57.56,0.0,0.0,991,66.9,1.539,-3.0,0.037,1.5,1.01,20.9,10.0,22.2,63.5,"{'target': 662, 'stop': 328, 'end': 1}",-3.0,4.87,"[-0.104, 0.169]"
immediate,1.5,5.0,,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,15350.74,53.51,12.22,390.64,-337.13,44.56,0.48,-57.54,0.0,0.0,926,77.8,1.539,-5.0,0.084,1.5,1.03,34.2,14.0,20.8,97.2,"{'target': 719, 'stop': 206, 'end': 1}",-5.0,4.87,"[-0.094, 0.254]"
immediate,1.5,5.0,4800.0,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,11963.1,19.63,4.94,390.64,-371.0,36.67,0.32,-54.72,0.0,0.0,640,77.5,1.537,-5.0,0.066,1.5,1.02,33.6,14.0,14.3,66.1,"{'target': 495, 'stop': 144, 'end': 1}",-5.0,4.87,"[-0.143, 0.273]"
immediate,2.0,,,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,44235.31,342.35,49.18,390.64,-48.28,45.92,1.1,-53.84,0.0,0.0,98,99.0,2.0,-35.228,1.621,2.0,2.42,331.3,28.5,2.2,99.7,"{'target': 97, 'end': 1}",-35.23,2.04,"[0.86, 2.001]"
immediate,2.0,,4800.0,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,37754.41,277.54,42.96,390.64,-113.09,45.82,1.01,-53.84,0.0,0.0,90,98.9,2.0,-35.228,1.587,2.0,2.35,357.4,30.0,2.0,98.8,"{'target': 89, 'end': 1}",-35.23,2.04,"[0.759, 2.001]"
immediate,2.0,1.0,,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,13874.71,38.75,9.21,390.64,-351.89,40.96,0.42,-64.2,0.0,0.0,2996,33.7,2.029,-1.0,0.021,-1.0,1.01,9.9,4.0,67.2,90.8,"{'stop': 1985, 'target': 1010, 'end': 1}",-1.0,4.81,"[-0.033, 0.074]"
immediate,2.0,1.0,4800.0,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,15871.96,58.72,13.23,390.64,-331.92,32.95,0.54,-47.99,0.0,0.0,1920,34.2,2.027,-1.0,0.034,-1.0,1.03,10.1,4.0,43.0,59.6,"{'stop': 1263, 'target': 656, 'end': 1}",-1.0,4.81,"[-0.029, 0.1]"
immediate,2.0,2.0,,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,21093.53,110.94,22.23,390.64,-279.7,43.13,0.68,-54.92,0.0,0.0,1652,51.3,2.027,-1.998,0.066,2.0,1.03,18.7,10.0,37.0,94.9,"{'target': 847, 'stop': 804, 'end': 1}",-2.0,4.81,"[-0.033, 0.164]"
immediate,2.0,2.0,4800.0,,zero,32566,3.718,2023-01-01 00:00:00+00:00,2026-09-19 01:00:00+00:00,18672.05,86.72,18.29,390.64,-303.91,34.93,0.66,-47.04,0.0,0.0,1085,51.6,2.023,-1.997,0.078,2.0,1.04,18.9,10.0,24.3,62.9,"{'target': 560, 'stop': 524, 'end': 1}",-2.0,4.81,"[-0.042, 0.191]"
